"Input","Query"
"unvanlar tablosundaki en son 5 temizlikçi personelin bilgilerini getir","SELECT * FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Temizlikçi"" ORDER BY TitleId ASC LIMIT 5"
"Çiçekler tablosundan nergis i lale olarak degistir","UPDATE flowers SET Name= 'lale' WHERE Name= ‘nergis’'"
"hastalar tablosundan kadın hastaların tc kimliklerini getir","SELECT IdNumber FROM patients WHERE Gender=”kadın”"
"çiçekler tablosundan petunya kaydını sil","DELETE FROM flowers WHERE Name =’ petunya';"
"Çiçekler tablosundan sarmaşığı nergis olarak degistir","UPDATE flowers SET Name= 'nergis' WHERE Name= ‘sarmasik’'"
"öğretmenler tablosundan esin darkon hocayı ebrar gök diye güncelle","UPDATE öğretmenler SET isim = 'ebrar gök ' WHERE isim = 'esin darkon '"
"Çiçekler tablosundan karanfil i gül olarak güncelle","UPDATE flowers SET Name= 'gul' WHERE Name= 'karanfil '"
"arabalar tablosundan audi yi passat olarak güncelle","UPDATE flowers SET Name= “passat” WHERE Name= “audi”'"
"kırtasiye tablosundan fiyatı 60 lira olan top ürününü sil","DELETE FROM stationery WHERE category =”ball” AND Price=60"
"tablolar adlı tablodaki Miktar alanına 10 ekleyerek güncelle","UPDATE tables SET Amount= Amount+ 10 WHERE Id = 1;"
"öğretmenler tablosundan eymen dost kişisini mert deniz diye güncelle","UPDATE teachers SET isim = 'mert deniz ' WHERE isim = 'eymen deniz '"
"Çiçekler tablosundan reyhan ı nergis olarak degistir","UPDATE flowers SET Name= 'nergis' WHERE Name= ‘reyhan’'"
"filmler tablosunda kaç farklı ülkeye ait film vardır","SELECT COUNT(DISTINCT Country) FROM films"
"hastalar tablosundan kan grubu 0 olan kadın hastaları listele","SELECT patients.Name,bloodTypes.BloodTypName FROM patients INNER JOIN bloodTypes ON patients.BloodTypId=bloodTypes.BloodTypId WHERE BloodTypName =”0 “ AND Gender =”kadın”"
"personeller tablosundan sadece kadınların nerede oturduklarını yazdır","SELECT Address FROM employees WHERE Gender = ‘kadın’"
"Çiçekler tablosundan sarmaşığı gül olarak degistir","UPDATE flowers SET Name= 'gul' WHERE Name= ‘sarmasik’'"
"çiçekler tablosundan sardunya kaydını sil","DELETE FROM flowers WHERE Name =’ sardunya';"
"filmler tablosundan Amerikan yapımlı filmlerin en uzun süreli filmi hangisidir","SELECT films.Name, countries.CountryName,MAX (Duration) FROM films INNER JOIN countries ON films.CountryCode=countries.CountryCode WHERE CountryName=”Amerika”"
"Çiçekler tablosundan karanfil i gül olarak değiştir","UPDATE flowers SET Name= 'gul' WHERE Name= 'karanfii '"
"unvanlar tablosundan tıbbi sekreter isimlerini getir","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Tıbbi Sekreter"""
"arabalar tablosundan audi yi honda olarak güncelle","UPDATE flowers SET Name= “honda” WHERE Name= “audi”'"
"Çiçekler tablosundan sarmaşığı sardunya olarak degistir","UPDATE flowers SET Name= 'sardunya' WHERE Name= ‘sarmasik’'"
"çiçekler tablosundan sarmaşık kaydını sil","DELETE FROM flowers WHERE Name =’ sarmasik';"
"öğrenciler tablosuna en son eklenen 10 kişi kim","SELECT * FROM students ORDER BY No DESC LIMIT 10"
"Çiçekler tablosundan karanfil i zambak olarak güncelle","UPDATE flowers SET Name= 'zambak' WHERE Name= 'karanfii '"
"kitaplar tablosunda can yayınlarına ait kayıtlar","SELECT pubHouse.PubName,books.Books_Name,books.PubNo FROM books INNER JOIN PubHome ON books.PubNo=pubHouse.PubNo WHERE PubName=""can yayınları"""
"dersler tablosundan kredi sayısı 4 ün üstündeki dersleri getir","SELECT * FROM lessons WHERE credit >4"
"filmler tablosundan Amerikan yapımı filmler hangileri","SELECT films.Name, countries.CountryName FROM films INNER JOIN countries ON films.CountryCode=countries.CountryCode WHERE CountryName=”Amerika”"
"çiçekler tablosundan sediryaprağı kaydını sil","DELETE FROM flowers WHERE Name =’ sediryapragi';"
"unvanlar tablosundan uzerkek doktorların isimleri","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Uzerkek Doktor"""
"Çiçekler tablosundan sarmaşığı petunya olarak degistir","UPDATE flowers SET Name= 'petunya' WHERE Name= ‘sarmasik’'"
"öğretmenler tablosundan sedat temkin hocayı seda gün diye güncelle","UPDATE teachers SET isim = 'seda gun ' WHERE isim = 'sedat temkin '"
"arabalar tablosundan passatı yi bmv olarak güncelle","UPDATE cars SET Name= “bmw” WHERE Name= “passat”'"
"dersler tablosunda hangi ders 3 kredilidi","SELECT * FROM lessons WHERE credit=3"
"kitaplar tablosunda kategorisi bilgisayar olan kitapları getir","SELECT books.Book_Name,category.CtgName FROM books INNER JOIN category ON books.CatNo=category.CatNo WHERE CtgName=""bilgisayar"""
"Çiçekler tablosundan sarmaşığı papatya olarak degistir","UPDATE flowers SET Name= 'papatya' WHERE Name= ‘sarmasik’'"
"öğrenciler tablosunda kayıt yenilemeyen kimler","SELECT * FROM students WHERE RenewReg= “False”"
"Çiçekler tablosundan karanfil i zambak olarak değiştir","UPDATE flowers SET Name= 'zambak' WHERE Name= 'karanfii '"
"bölümler tablosundan inşaat bölümündeki erkek öğrencilerin isimleri ve mailleri nedir","SELECT programs.ProgramCode,programs.Name,students.Name,students.Mail FROM programs INNER JOIN students ON programs.ProgramCode=students.ProgramCode WHERE programs.Name=”İnşaat” AND Gender=”erkek”"
"bölümler tablosundaki bölüm sayısı","SELECT COUNT(DISTINCT Name) FROM programs"
"arabalar tablosundan passatı yi opel olarak güncelle","UPDATE flowers SET Name= “opel” WHERE Name= “passat”'"
"kırtasiye tablosundan poşet ürününü sil","DELETE FROM stationery WHERE category =”poset”"
"kitaplar tablosundan çocuk kitaplarını getir","SELECT books.Book_Name,category.CtgName FROM books INNER JOIN category ON books.CatNo=category.CatNo WHERE CtgName=""çoçuk"""
"dersler tablosundaki tüm kayıtları sil","DELETE FROM lessons"
"öğretmenler tablosundan derya emel i ayşe taşkın diye güncelle","UPDATE teachers SET isim = 'ayşe taşkın' WHERE isim = derya emel '"
"hastalar tablosundan kan grubu AB olan erkek hastaları alfabetik listele","SELECT * FROM patients INNER JOIN bloodTypes ON patients.BloodTypId=bloodTypes.BloodTypId WHERE BloodTypName =”AB“ ORDER BY patients.Name ASC"
"ürünler tablosundan airfrayer ilk satıs yılı","SELECT MIN(DateOfSale) FROM products WHERE ProductName= 'Airfrayer';"
"Çiçekler tablosundan papatyayı nergis olarak degistir","UPDATE flowers SET Name= 'nergis' WHERE Name= ‘papatya’"
"unvanlar tablosundan uzerkek doktorları sırala","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Uzerkek Doktor”"
"filmler tablosunda imdb puanı en yüksek olan ilk 2 filmler nedir","SELECT * FROM films ORDER BY Imdb_score DESC LIMIT 2;"
"Çiçekler tablosundan karanfil i nergis olarak güncelle","UPDATE flowers SET Name= ‘nergis’' WHERE Name= 'karanfil '"
"öğretmenler tablosundan ahmet emin i yusuf akın diye güncelle","UPDATE teachers SET isim = 'yusuf akın' WHERE isim = 'Ahmet emin '"
"arabalar tablosundan passatı yi mazda olarak güncelle","UPDATE cars SET Name= “mazda” WHERE Name= “passat”'"
"dersler tablosunda hangi ders 3 krediye sahiptir","SELECT * FROM lessons WHERE credit=3"
"kitaplar tablosunda uzun hikaye isimli kitabın yayınevi nedir","SELECT books.Book_Name,PubHome.YayAd FROM books INNER JOIN PubHouse ON books.PubNo=PubHome.PubNo WHERE Book_Name=”uzun hikaye"""
"filmler tablosundan 2000 yılına ait Türk yapımı filmler hangileri","SELECT films.Name, countries.CountryName FROM films INNER JOIN countries ON films.CountryCode=countries.CountryCode WHERE CountryName=”Turkiye” AND FilmDate=2000"
"Çiçekler tablosundan papatya yı lale olarak degistir","UPDATE flowers SET Name= 'gul' WHERE Name= ‘papatya’"
"kırtasiye tablosundan şeker ürününü sil","DELETE FROM stationery WHERE category =”seker”"
"öğrenciler tablosundan mehmet atesin final notlarını ekrana getir","SELECT students.No,Final FROM students WHERE Name= “Mehmet Ateş”"
"öğrenciler tablosundan ahmet ece y i yusuf akın diye güncelle","UPDATE Öğretmenler SET Ad = 'Ahmet ece , Soyad = 'Yusuf Akın' WHERE Ad = 'Ahmet ece AND Soyad = 'Yusuf Akın';"
"öğretmenler tablosundan ahmet emin i yusuf akın diye güncelle","UPDATE Öğretmenler SET Ad = 'Ahmet Emin', Soyad = 'Yusuf Akın' WHERE Ad = 'Ahmet Emin' AND Soyad = 'Yusuf Akın';"
"filmler tablosundan Mısır yapımı filmleri ekrana getir","SELECT films.Name, countries.CountryName FROM films INNER JOIN countries ON films.CountryCode=countries.CountryCode WHERE CountryName=”Mısır”"
"hasta kabul tablosundan kadınları listele","SELECT * FROM patient_admission WHERE Gender= ‘kadın’"
"Çiçekler tablosundan papatya yı nilüfer olarak degistir","UPDATE flowers SET Name= 'nilufer' WHERE Name= ‘papatya’"
"filmler tablosunda kaç ülkeye ait film var","SELECT COUNT(DISTINCT Country) FROM films"
"öğretmenler tablosundaki emir mert i sil","DELETE FROM teachers WHERE Name= ‘emir mert ';"
"tahliller tablosundan durumu acil olan hastaları göster","SELECT patients.Name,tests.State FROM patients INNER JOIN tests ON patients.PatientId=tests.PatientId WHERE State=”Urgent”"
"unvanlar tablosundan temizlikçi personellerini yazdır","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Temizlikçi"""
"hasta kabul tablosundan son 1 saatte gelen hastaları listele","SELECT * FROM patient_admission WHERE Entry_date> DATEADD(HOUR, -1, GETDATE())"
"kırtasiye tablosundan top ürününü sil","DELETE FROM stationery WHERE category =”top”"
"Çiçekler tablosundan papatya yı sardunya olarak degistir","UPDATE flowers SET Name= ‘sardunya’ WHERE Name= ‘papatya’"
"unvanlar tablosundaki en son 5 temizlikçi personelin bilgilerini yazdır","SELECT * FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Temizlikçi"" ORDER BY TitleId ASC LIMIT 5"
"ürünler tablosunda kaç farklı ürün mevcut","SELECT COUNT (DISTINCT ProductName) FROM products"
"hastalar tablosundaki kan grubu AB olan hastaları yaşlarına göre listele","SELECT * FROM patients INNER JOIN bloodTypes ON patients.BloodTypId=bloodTypes.BloodTypId WHERE BloodTypName =”AB“ ORDER BY Age"
"hastalar tablosundan kadınları sil","DELETE FROM patients WHERE gender= “kadın”"
"filmler tablosundan Mısır yapımlı filmlerin en uzun süreli filmi hangisidir","SELECT films.Name, countries.CountryName,MAX(Mısır) FROM films INNER JOIN countries ON films.CountryCode=countries.CountryCode WHERE CountryName=”Mısır”"
"tedarikçiler tablosundan kaç farklı ülkeden tedarikçi var","SELECT COUNT (DISTINCT Country) FROM suppliers"
"Çiçekler tablosundan papatya yı nane olarak degistir","UPDATE flowers SET Name= 'nane' WHERE Name= ‘papatya’"
"kitaplar tablosunda sayfa sayısı 500 ila 600 arasındaki kitapları getir","SELECT Book_Name FROM books WHERE Page_Number BETWEEN 500 AND 600"
"ürünler tablosundaki tüm kayıtları sil","DELETE FROM products;"
"hastalar tablosundaki kan grubu A olan hastaları listele","SELECT patients.Name,bloodTypes.BloodTypName FROM patients INNER JOIN bloodTypes ON patients.BloodTypId=bloodTypes.BloodTypId WHERE BloodTypName =”A “"
"arabalar tablosundan passatı yi nissan olarak güncelle","UPDATE cars SET Name= “nissan” WHERE Name= “passat”'"
"kırtasiye tablosundan fiyatları 500 ün üzerinde olan ürünlerin sil","DELETE FROM stationery WHERE Price >500"
"öğretmenler tablosundan yusuf test isimli ögretmeni sil","DELETE FROM teachers WHERE Ad = ‘yusuf test ';"
"kargolar tablosundan Aras kargosuna ait ürünleri getir","SELECT cargoes.CargoName,orders.OrderId FROM cargoes INNER JOIN orders ON cargoes.CargoId =orders.CargoId WHERE CargoName=”Aras”"
"hasta kabul tablosundan tüm erkekleri yazır","SELECT * FROM patient_admission WHERE Gender= 'erkek'"
"kitaplar tablosundan çocuk kitaplarını yazdır","SELECT books.Book_Name,category.CtgName FROM books INNER JOIN category ON books.CatNo=Kategori.CatNo WHERE CtgName=""çocuk"""
"öğrenciler tablosuna en son eklenen 10 kişiyi numaralarına göre listele","SELECT * FROM students ORDER BY No DESC LIMIT 10;"
"kitaplar tablosundan gençlik kitaplarını yazdır","SELECT books.Book_Name,category.CtgName FROM books INNER JOIN category ON books.CatNo=Kategori.CatNo WHERE CtgName=""gençlik"""
"öğrenciler tablosundaki erkek öğrencileri alfabeye göre getir","SELECT * FROM students WHERE Gender= “erkek” ORDER BY Name ASC"
"kitaplar tablosunda dava isimli kitabın yayınevi nedir","SELECT books.Book_Name,PubHome.YayAd FROM booksINNER JOIN PubHouse ON books.PubNo=PubHome.PubNo WHERE Book_Name=""dava"""
"Çiçekler tablosundan papatya yı rezene olarak degistir","UPDATE flowers SET Name= 'rezene' WHERE Name= ‘papatya’"
"filmler tablosunda kaç farklı ülkeye ait film var","SELECT COUNT(DISTINCT Country) FROM films"
"kitaplar tablosunda yapı kredi yayınlarına ait kitapları görüntüle","SELECT pubHouse.PubName,books.Books_Name,books.PubNo FROM books INNER JOIN Yayınevi ON books.PubNo=pubHouse.PubNo WHERE PubName=""yapı kredi yayınları"""
"kırtasiye tablosundan fiyatları 400 ün üzerinde olan ürünlerin hepsini sil","DELETE FROM stationery WHERE Price >400"
"öğretmenler tablosundan deren sevgi adlı hocayı sil","DELETE FROM teachers WHERE Name= ‘deren sevgi ';"
"unvanlar tablosundan temizlikçi personellerini 1975 öncesi doğumluları listele","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Temizlikçi"" AND Birth_Day <1975"
"Çiçekler tablosundan orkide yi nergis olarak degistir","UPDATE flowers SET Name= 'nergis' WHERE Name= ‘orkide’"
"kitaplar tablosundan edebiyat kitaplarını getir","SELECT books.Book_Name,category.CtgName FROM books INNER JOIN category ON books.CatNo=Kategori.CatNo WHERE CtgName=""edebiyat"""
"hastalar tablosundan kan grubu A olan erkek hastaları alfabetik listele","SELECT * FROM patients INNER JOIN bloodTypes ON patients.BloodTypId=bloodTypes.BloodTypId WHERE BloodTypName =”A “ AND Gender =”erkek” ORDER BY patients.Name ASC"
"filmler tablosundan Türk yapımı filmler hangileri","SELECT * FROM films WHERE Country= 'Turkiye '"
"unvanlar tablosundan uzerkek doktorları alfabetik sırala getir","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Uzerkek Doktor"" ORDER BY employees.Name ASC"
"Çiçekler tablosundan orkide yi gül olarak degistir","UPDATE flowers SET Name= 'gul' WHERE Name= ‘orkide’"
"öğretmenler tablosundan mert mete hocayı sil","DELETE FROM teachers WHERE Ad = ‘mert mete ';"
"öğrenciler tablosuna en son eklenen 30 kişiyi numaralarına göre sırala","SELECT * FROM students ORDER BY No DESC LIMIT 30;"
"filmler tablosundan Amerikan yapımı filmleri listeler misin","SELECT * FROM films WHERE Country= “Amerika”'"
"öğretmenler tablosundan eren katran adlı hocayı sil","DELETE FROM teachers WHERE Name= ‘eren katran’;"
"öğretmenler tablosundan serdar emin i yagız akın diye güncelle","UPDATE teachers SET isim = 'yagız akın' WHERE isim = 'serdar emin '"
"kitaplar tablosunda 1984 adlı kitabın yayınevi ismi nedir","SELECT books.Book_Name,PubHome.YayAd FROM booksINNER JOIN PubHouse ON books.PubNo=PubHome.PubNo WHERE Book_Name=""1984"""
"Çiçekler tablosundan orkide yi lale olarak güncelle","UPDATE flowers SET Name= 'lale WHERE Name= ‘orkide’"
"dersler tablosunda hangi ders 4 krediye sahiptir","SELECT * FROM lessons WHERE credit=4"
"işçiler tablosundaki işçi isimlerini ve tüm maaşlarını küçükten büyüğe doğru sırala","SELECT Name,Salary FROM employees ORDER BY Salary"
"unvanlar tablosundan uzerkek doktorları ekrana getir","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Uzerkek Doktor"""
"kitaplar tablosunda 14. rafta yer alan kitap isimleri","SELECT * FROM books WHERE Shelf = 14;"
"öğrenciler tablosundaki toplam kız öğrenci sayısı nedir","SELECT COUNT (*) FROM students WHERE Gender= “kadın”"
"filmler tablosundan 2000 yılına ait Türk yapımı filmleri getir","SELECT * FROM films WHERE Country= 'Turkiye ' AND FilmDate=2000"
"dersler tablosunda hangi ders 1 kredilidir","SELECT * FROM lessons WHERE credit=1"
"bölümler tablosunda birbirinden farklı kaç bölüm vardır","SELECT COUNT(DISTINCT Name) FROM programs"
"öğretmenler tablosundan gül aksen i sil","DELETE FROM teachers WHERE Name= ‘gul aksen ';"
"hastalar tablosundan kan grubu 0 olan kadın hastaları alfabetik listele","SELECT patients.Name,bloodTypes.BloodTypName FROM patients INNER JOIN bloodTypes ON patients.BloodTypId=bloodTypes.BloodTypId WHERE BloodTypName =”A “ AND Gender =”kadın” ORDER BY patients.Name ASC"
"kırtasiye tablosundan fiyat değerlerini sil","DELETE FROM stationery WHERE Price IS NOT NULL;"
"tedarikçiler tablosundan kaç farklı ülkeden tedarikçi ile çalıştık","SELECT COUNT (DISTINCT Country) FROM suppliers"
"unvanlar tablosundan ilk 10 uzerkek doktorları yazdır","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Uzerkek Doktor"" ORDER BY TitleId DESC LIMIT 10"
"kitaplar tablosunda 1984 adlı kitabın yayınevi adı nedir","SELECT books.Book_Name,PubHome.YayAd FROM booksINNER JOIN PubHouse ON books.PubNo=PubHome.PubNo WHERE Book_Name=""1984"""
"Çiçekler tablosundan karanfil i kasımpatı olarak güncelle","UPDATE flowers SET Name= 'kasimpati' WHERE Name= 'karanfili '"
"müşteriler tablosundan kaç kişinin adresi yok","SELECT COUNT(*) FROM customers WHERE Address IS NULL;"
"çiçekler tablosundaki tüm kayıtları sil","DELETE FROM flowers;"
"filmler tablosunda Mark Tinker tarafından yönetilen filmin adı nedir","SELECT * FROM films WHERE Director = 'mark tinker ';"
"müşteriler tablosundan tüm Aslıların adreslerini getir","SELECT CustomerName,Address FROM customers WHERE CustomerName LIKE ""Aslı%"""
"öğretmenler tablosundan ekrem dost u sil","DELETE FROM teachers WHERE Ad = ekrem dost ';"
"filmler tablosundan 2000 yılından sonraki İran yapımı filmleri göster","SELECT * FROM films WHERE Country= “İran” AND FilmDate >2000"
"müşteriler tablosundan adresi olmayanları yazdır","SELECT * FROM customers WHERE Address IS NULL;"
"öğrenciler tablosundan umut yankının final notlarını yazdır","SELECT students.Name,notes.Final FROM students INNER JOIN notes ON students.No=notes.No WHERE students.Name=”Umut Yankı”"
"kırtasiye tablosundan tüm fiyatların hepsini sil","DELETE FROM stationery WHERE Price IS NOT NULL"
"Çiçekler tablosundan karanfil i orkide olarak güncelle","UPDATE flowers SET Name= 'orkide' WHERE Name= 'karanfili '"
"arabalar tablosundaki tüm kayıtları sil","DELETE FROM cars;"
"müşteriler tablosundan tüm Mustafaların nın adreslerini getir","SELECT CustomerName,Address FROM customers WHERE CustomerName LIKE ""mustafa%"""
"bölümler tablosundan fizik bölümündeki erkek öğrencilerin isimleri ve maillerini yazdır","SELECT programs.ProgramCode,programs.Name,students.Name,students.Mail FROM programs INNER JOIN students ON programs.ProgramCode=students.ProgramCode WHERE programs.Name=”Fizik” AND Gender=”erkek”"
"ürünler tablosunda 2020 de kaç tane ürün satıldı","SELECT COUNT (*) FROM products WHERE DateOfSale=2020"
"müşteriler tablosundan adresi olmayanlar kimler","SELECT * FROM customers WHERE Address IS NULL;"
"öğretmenler tablosundan seher catar ı sil","DELETE FROM teachers WHERE Name= seher catar ';"
"Çiçekler tablosundan karanfil i kaktüs olarak güncelle","UPDATE flowers SET Name= 'kaktus' WHERE Name= 'karanfili '"
"kırtasiye tablosundan fiyatların hepsini sil","DELETE FROM stationery WHERE Price IS NOT NULL;"
"clothes tablosundaki tüm kayıtları sil","DELETE FROM clothes;"
"öğrenciler tablosuna en son eklenen 15 kişi kimdir","SELECT * FROM students ORDER BY No DESC LIMIT 15;"
"hasta kabul tablosundan son 1 saatte gelen hastalar kim","SELECT * FROM patient_admission WHERE Entry_date> DATEADD(HOUR, -1, GETDATE());"
"unvanlar tablosundan yemek personellerinin isimlerini listele","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Yemek Personeli"""
"kitaplar tablosundan sağlık kitaplarını listele","SELECT books.Book_Name,category.CtgName FROM books INNER JOIN category ON books.CatNo=Kategori.CatNo WHERE CtgName=""sağlık"""
"randevular tablosundan Merve Mert doktora ait hastaları listele","SELECT * FROM appointments INNER JOIN patients ON appointments.PatientId =patients.PatientId WHERE DoktorName=”merve mert”"
"kitaplar tablosunda bilgi yayınlarına ait kitapları diz","SELECT pubHouse.PubName,books.Books_Name,books.PubNo FROM books INNER JOIN Yayınevi ON books.PubNo=pubHouse.PubNo WHERE PubName=""bilgi yayınları"""
"personeller tablosundan sadece erkeklerin adreslerini getir","SELECT Address FROM employees WHERE Gender = ‘erkek’"
"öğretmenler tablosundan merve desen kişisini sil","DELETE FROM teachers WHERE Ad = ‘merve desen ';"
"randevular tablosundan Ali yavuz adlı doktorun hastalarını listele","SELECT * FROM appointments INNER JOIN patients ON appointments.PatientId =patients.PatientId WHERE DoktorName=”ali yavuz”"
"Çiçekler tablosundan kaktüs ü lale olarak güncelle","UPDATE flowers SET Name= ‘lale’ WHERE Name= ‘kaktus’'"
"kitaplar tablosunda sayfa sayısı 300 ila 400 arasındaki kitapları listele","SELECT Book_Name FROM books WHERE Page_Number BETWEEN 300 AND 400"
"filmler tablosundan İran yapımı filmler hangileri","SELECT * FROM films WHERE Country= “İran”';"
"oyucular tablosundaki tüm kayıtları sil","DELETE FROM players ;"
"unvanlar tablosundan ilk 10 uzerkek doktorları bilgilerini getir","SELECT * FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Uzerkek Doktor"" ORDER BY TitleId ASC LIMIT 10"
"kitaplar tablosundan bilim kurgu kitaplarını listele","SELECT books.Book_Name,category.CtgName FROM books INNER JOIN category ON books.CatNo=Kategori.CatNo WHERE CtgName=""bilim kurgu"""
"ürünler tablosundan kategorileri kayıtlarını sil","DELETE FROM products WHERE category"
"Çiçekler tablosundan kaktüs ü gül olarak değiştir","UPDATE flowers SET Name= 'gul' WHERE Name= ‘kaktus’'"
"hastalar tablosundan kan grubu B olan kadın hastaları listele","SELECT patients.Name,bloodTypes.BloodTypName FROM patients INNER JOIN bloodTypes ON patients.BloodTypId=bloodTypes.BloodTypId WHERE BloodTypName =”B “ AND Gender =”kadın”"
"hava durumları tablosunda sıcaklığı en düşük il hangisidir","SELECT CityName FROM weatherConditions WHERE MIN(Temp)"
"hastalar tablosundaki kan grubu B olan hastaları getir","SELECT patients.Name,bloodTypes.BloodTypName FROM patients INNER JOIN bloodTypes ON patients.BloodTypId=bloodTypes.BloodTypId WHERE BloodTypName =”B”"
"Çiçekler tablosundan kaktüs ü zambak olarak güncelle","UPDATE flowers SET Name= ‘zambak’ WHERE Name= ‘kaktus’'"
"öğretmenler tablosundan ekin karşa adlı ögretmeni sil","DELETE FROM teachers WHERE Name= ekin karsa';"
"filmler tablosundan Mısır yapımı filmleri ekrana göster","SELECT * FROM films WHERE Country= “Mısır”;"
"tahliller tablosundan durumu acil olan hastaları listele","SELECT patients.Name,tests.State FROM patients INNER JOIN tests ON patients.PatientId=tests.PatientId WHERE State=”Urgent”"
"filmler tablosundan 2000 yılına ait Türk yapımı filmleri göster","SELECT * FROM films WHERE Country= “Turkiye” AND FilmDate=2000"
"ürünler tablosunda kaç çeşit ürün vardır","SELECT COUNT (DISTINCT ProductName) FROM products"
"kitaplar tablosunda 9. rafta yer alan kitaplar neler","SELECT * FROM books WHERE Shelf = 9;"
"hastalar tablosundaki kan grubu 0 pozitif olan hastaları listele","SELECT patients.Name,bloodTypes.BloodTypName FROM patients INNER JOIN bloodTypes ON patients.BloodTypId=bloodTypes.BloodTypId WHERE BloodTypName =”0 + “"
"Çiçekler tablosundan kaptüs ü kaktüs olarak güncelle","UPDATE flowers SET Name= 'kaktus' WHERE Name= ‘kaptus’'"
"bölümler tablosunda kaç farklı bölüm var","SELECT COUNT(DISTINCT Name) FROM programs;"
"ürünler tablosundaki tüm kategorileri sil","DELETE FROM products WHERE category"
"kitaplar tablosunda 10. rafta yer alan kitaplar neler","SELECT * FROM books WHERE Shelf = 10;"
"ürünler tablosundan airfrayer ilk satıs yılı nedir","SELECT MIN(DateOfSale) FROM products WHERE ProductName= 'Airfrayer';"
"filmler tablosunda imdb puanı en yüksek olan ilk 4 film nedir","SELECT * FROM films ORDER BY Imdb_Score DESC LIMIT 4;"
"öğretmenler tablosundan seda eda isimli hocayı sil","DELETE FROM teachers WHERE Ad = seda eda ';"
"kitaplar tablosundan eğitim kitaplarının isimlerini getir","SELECT books.Book_Name,category.CtgName FROM books INNER JOIN category ON books.CatNo=Kategori.CatNo WHERE CtgName=""eğitim"""
"unvanlar tablosundan temizlikçi personellerini 1975 öncesi doğumluları göster","SELECT titles .TitleName,employees.Name,employees.surname FROM titles INNER JOIN employees ON titles .TitleNo=Personel.TitleNo WHERE TitleName=”Temizlikçi"" AND Birth_Day<1975"
"hastalar tablosundan kan grubu AB olan kadın hastaları ekrana yazdır","SELECT patients.Name,bloodTypes.BloodTypName FROM patients INNER JOIN bloodTypes ON patients.BloodTypId=bloodTypes.BloodTypId WHERE BloodTypName =”AB “ AND Gender =”kadın”"
"hava durumları tablosunda sıcaklığı en düşük il","SELECT CityName FROM weatherConditions WHERE MIN(Temp)"
"ürünler tablosunda kaç farklı ürün var","SELECT COUNT (DISTINCT ProductName) FROM products"
"öğretmenler tablosundan elif tanem hocayı ı sil","DELETE FROM teachers WHERE Name= elif tanem ';"
"ürünler tablosundan kategorileri sil","DELETE FROM products WHERE category"
"kitaplar tablosundan felsefe kitaplarını getir","SELECT books.Book_Name,category.CtgName FROM books INNER JOIN category ON books.CatNo=Kategori.CatNo WHERE CtgName=""felsefe"""
"ürünler tablosundan bilgisayar en son ne zaerkek satışı yapıldı","SELECT MAX(DateOfSale) FROM products WHERE ProductName= 'Bilgisayar;"
"filmler tablosundan hangisinin imdb puani 7.3 tür","SELECT * FROM films WHERE Imdb_score= 7.3;"
"ülkeler tablosunda Buenos airesin başkenti","SELECT Country,CapitalName FROM capitals WHERE CapitalName=“Buenos aries”"
"Çiçekler tablosundan kaktüs ü sarmaşık olarak değiştir","UPDATE flowers SET Name= 'sarmasik' WHERE Name= ‘kaktus’'"
"müşteriler tablosundan ismi Ayça ile başlayan kişilerin adresi nedir","SELECT CustomerName,Address FROM customers WHERE CustomerName LIKE ""Ayça%"""
"ülkeler tablosunda Buenos aires hangi ülkenin başkentidir","SELECT Country,CapitalName FROM capitals WHERE CapitalName=“Buenos aries”"
"ürünler tablosundan kulaklık satışı en son ne zaerkekdı","SELECT MAX(DateOfSale) FROM products WHERE ProductName= “Kulaklık”;"
"filmler tablosundan hangisinin imdb puani 6.4 ten daha düşüktür","SELECT * FROM Films WHERE Imdb_Score < 6.4"
"filmler tablosundan Mısır yapımı filmleri geti","SELECT * FROM films WHERE Country= “Mısır”;"
